Order,Level,Code,Parent,Code_comm,Parent,Description_complex,Description
1654555,1,0,,,,"This classification has been uploaded in RAMON for the specific needs of the ""Correspondence tables"" section of the server. The sole official versions of this classification are to be found on the World Customs Organization Web site (http://www.wcoomd.org).","This classification has been uploaded in RAMON for the specific needs of the ""Correspondence tables"" section of the server. The sole official versions of this classification are to be found on the World Customs Organization Web site (http://www.wcoomd.org)."
1654556,1,10011000090,,I,,SECTION I - LIVE ANIMALS; ANIMAL PRODUCTS,LIVE ANIMALS; ANIMAL PRODUCTS
1654557,2,10021000090,10011000090,1,I,CHAPTER 1 - LIVE ANIMALS,LIVE ANIMALS
1654558,3,10100000080,10021000090,1.01,1,"Live horses, asses, mules and hinnies","Live horses, asses, mules and hinnies"
1654559,4,10121000010,10100000080,,1.01,- Horses,
1654560,5,10121000080,10121000010,101.21,,-- Pure-bred breeding animals,Pure-bred breeding horses
1654561,5,10129000080,10121000010,101.29,,-- Other,Live horses (excl. pure-bred for breeding)
1654562,4,10130000080,10100000080,101.3,1.01,- Asses,Live asses
1654563,4,10190000080,10100000080,101.9,1.01,- Other,Live mules and hinnies
1654564,3,10200000080,10021000090,1.02,1,Live bovine animals,Live bovine animals
1654565,4,10221000010,10200000080,,1.02,- Cattle,
1654566,5,10221000080,10221000010,102.21,,-- Pure-bred breeding animals,Pure-bred cattle for breeding
1654567,5,10229000080,10221000010,102.29,,-- Other,Live cattle (excl. pure-bred for breeding)
1654568,4,10231000010,10200000080,,1.02,- Buffalo,
1654569,5,10231000080,10231000010,102.31,,-- Pure-bred breeding animals,Pure-bred buffalo for breeding
1654570,5,10239000080,10231000010,102.39,,-- Other,Live buffalo (excl. pure-bred for breeding)
1654571,4,10290000080,10200000080,102.9,1.02,- Other,Live bovine animals (excl. cattle and buffalo)
1654572,3,10300000080,10021000090,1.03,1,Live swine,Live swine
1654573,4,10310000080,10300000080,103.1,1.03,- Pure-bred breeding animals,Pure-bred breeding swine
1654574,4,10391000010,10300000080,,1.03,- Other,
1654575,5,10391000080,10391000010,103.91,,-- Weighing less than 50 kg,"Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding)"
1654576,5,10392000080,10391000010,103.92,,-- Weighing 50 kg or more,"Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding)"
1654577,3,10400000080,10021000090,1.04,1,Live sheep and goats,Live sheep and goats
1654578,4,10410000080,10400000080,104.1,1.04,- Sheep,Live sheep
1654579,4,10420000080,10400000080,104.2,1.04,- Goats,Live goats
1654580,3,10500000080,10021000090,1.05,1,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"""
1654581,4,10511000010,10500000080,,1.05,- Weighing not more than 185 g,
1654582,5,10511000080,10511000010,105.11,,-- Fowls of the species Gallus domesticus,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)"
1654583,5,10512000080,10511000010,105.12,,-- Turkeys,"Live domestic turkeys, weighing <= 185 g"
1654584,5,10513000080,10511000010,105.13,,-- Ducks,"Live domestic ducks, weighing <= 185 g"
1654585,5,10514000080,10511000010,105.14,,-- Geese,"Live domestic geese, weighing <= 185 g"
1654586,5,10515000080,10511000010,105.15,,-- Guinea fowls,"Live domestic guinea fowls, weighing <= 185 g"
1654587,4,10594000010,10500000080,,1.05,- Other,
1654588,5,10594000080,10594000010,105.94,,-- Fowls of the species Gallus domesticus,"Live fowls of the species Gallus domesticus, weighing > 185"
1654589,5,10599000080,10594000010,105.99,,-- Other,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g"
1654590,3,10600000080,10021000090,1.06,1,Other live animals,"Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.)"
1654591,4,10611000010,10600000080,,1.06,- Mammals,
1654592,5,10611000080,10611000010,106.11,,-- Primates,Live primates
1654593,5,10612000080,10611000010,106.12,,"-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
1654594,5,10613000080,10611000010,106.13,,-- Camels and other camelids (Camelidae),Live camels and other camelids [Camelidae]
1654595,5,10614000080,10611000010,106.14,,-- Rabbits and hares,Live rabbits and hares
1654596,5,10619000080,10611000010,106.19,,-- Other,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)"
1654597,4,10620000080,10600000080,106.2,1.06,- Reptiles (including snakes and turtles),"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""
1654598,4,10631000010,10600000080,,1.06,- Birds,
1654599,5,10631000080,10631000010,106.31,,-- Birds of prey,Live birds of prey
1654600,5,10632000080,10631000010,106.32,,"-- Psittaciformes (including parrots, parakeets, macaws and cockatoos)","Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
1654601,5,10633000080,10631000010,106.33,,-- Ostriches; emus (Dromaius novaehollandiae),"Live ostriches, and emus [Dromaius novaehollandiae]"
1654602,5,10639000080,10631000010,106.39,,-- Other,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)"
1654603,4,10641000010,10600000080,,1.06,- Insects,
1654604,5,10641000080,10641000010,106.41,,-- Bees,Live bees
1654605,5,10649000080,10641000010,106.49,,-- Other,Live insects (excl. bees)
1654606,4,10690000080,10600000080,106.9,1.06,- Other,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)"
